LOCATION,BOS,ADDR_NUM,ST_NAME,ST_TYPE,ADDRESS,EAS_ADDRESS,CNN,PARCEL,ZIP,LAT_EAS,LONG_EAS,COORDINATES,BIKE_PARKING,PLACEMENT,RACKS,SPACES,MO_INST,YR_INSTALLED,INSTALLED_BY,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION
Papenhausen Hardware,,,,,32 WEST PORTAL AVE,,,,,,,"(37.740598, -122.466497)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Fresca,,,,,24 WEST PORTAL AVE,,,,,,,"(37.74067820, -122.46641550)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
West Portal Family Dentistry,,,,,26 WEST PORTAL AVE,,,,,,,"(37.740678, -122.466416)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Mozarella Di Bufala Pizza,,,,,69 WEST PORTAL AVE,,,,,,,"(37.73996228, -122.46636617)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
West Portal Shoe Service,,,,,79 WEST PORTAL AVE,,,,,,,"(37.73976604, -122.46630857)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Goodwill Boutique,,,,,61 WEST PORTAL AVE,,,,,,,"(37.74001551, -122.46623082)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Supercuts,,,,,59 WEST PORTAL AVE,,,,,,,"(37.74001551, -122.46623082)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Misdirections Magic Shop,,,,,1236 09TH AVE,,,,,,,"(37.765259, -122.466067)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Sunset Stationers,,,,,1248 09TH AVE,,,,,,,"(37.765019, -122.466050)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Roti Indian Bistro,,,,,53 WEST PORTAL AVE,,,,,,,"(37.74007218, -122.46604744)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Alaya,,,,,1256 09TH AVE,,,,,,,"(37.764884, -122.466041)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Strybing Arboretum Society,,,,,1260 09TH AVE,,,,,,,"(37.764815, -122.466036)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Tibors Fine Jewelry,,,,,29 WEST PORTAL AVE,,,,,,,"(37.74036449, -122.46585218)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
